date,menu,qty,day_of_week,month,is_weekend,week_of_month,lag_1,lag_3,lag_7,lag_14,rolling_7,rolling_14,rolling_std_7
2024-01-15,Aeropress - Natural - Honey,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,Beef Lovers Pizza,0,0,1,0,3,2.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.7559289460184545
2024-01-15,Thai Tea Ice,0,0,1,0,3,1.0,2.0,0.0,0.0,1.0,0.6428571428571429,1.1547005383792515
2024-01-15,SOP IGA,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,Chicken Blackpepper,1,0,1,0,3,0.0,0.0,2.0,0.0,0.2857142857142857,0.2857142857142857,0.7559289460184545
2024-01-15,Lemon Peach,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,Hot Moccacino,0,0,1,0,3,1.0,0.0,1.0,1.0,0.2857142857142857,0.35714285714285715,0.48795003647426666
2024-01-15,Premium Tea Hot,0,0,1,0,3,1.0,0.0,0.0,0.0,0.5714285714285714,0.7857142857142857,1.1338934190276817
2024-01-15,Choco lava,0,0,1,0,3,1.0,0.0,0.0,1.0,0.14285714285714285,0.14285714285714285,0.37796447300922725
2024-01-15,Strawberry Dreams,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,Bundling Black Tea Ice,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,Ayam Penyet Sambal Balado,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,Red Velvet Ice,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,Flat Bottom,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,Chicken Zurich Mushroom,3,0,1,0,3,4.0,0.0,6.0,0.0,2.0,1.4285714285714286,2.5819888974716116
2024-01-15,Chocogato,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,Pisang Goreng,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,Kol Goreng,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-15,Ice Cream,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
